Player,Year,Rd,Pk,Tm,Age,College,From,To,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS_x,WS/48,Class,Season,School,Conf,G_y,MP_y,PER,TS%,MP.1,FG_x,FGA_x,2P_x,2PA_x,3P_x,3PA_x,FT_x,FTA_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,FG_y,FGA_y,2P_y,2PA_y,3P_y,3PA_y,FT_y,FTA_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,Effective FG%,True Shooting%,Two Point Frequency,Three point frequency,ast-to-tov,fta to fga,NBA Experience,Offensive reb split,Defensive reb split,fouls per min,blocks per min,steals per min
Chris Paul,2005.0,1.0,4.0,NOH,20.058,Wake Forest University,2006.0,2018.0,892.0,35.3,18.7,4.5,9.8,2.3,0.1,0.47200000000000003,0.505,0.37200000000000005,0.868,164.8,0.251,SO,2004-05,Wake Forest University,ACC,32.0,1069.0,,,33.4,4.5,9.9,3.0,6.9,1.4,3.0,4.9,5.8,0.7,3.8,4.5,6.6,2.4,0.0,2.8,2.6,15.3,143.0,317.0,97.0,220.0,46.0,97.0,156.0,187.0,22.0,122.0,144.0,212.0,76.0,1.0,89.0,82.0,488.0,71.75,5' 11.75'',73.0,6' 1'',178.0,76.25,6' 4.25'',93.0,7' 9'',0.5236593059936908,0.6110999799639352,0.694006309148265,0.305993690851735,2.3820224719101124,0.5899053627760252,12.0,0.1527777777777778,0.8472222222222222,0.07670720299345182,0.0009354536950420954,0.07109448082319925
Chris Paul,2005.0,1.0,4.0,NOH,20.058,Wake Forest University,2006.0,2018.0,892.0,35.3,18.7,4.5,9.8,2.3,0.1,0.47200000000000003,0.505,0.37200000000000005,0.868,164.8,0.251,FR,2003-04,Wake Forest University,ACC,31.0,1041.0,,,33.6,4.4,8.8,3.1,6.0,1.3,2.8,4.8,5.7,0.7,2.6,3.3,5.9,2.7,0.4,2.6,2.6,14.8,135.0,272.0,95.0,186.0,40.0,86.0,150.0,178.0,21.0,80.0,101.0,183.0,84.0,12.0,82.0,81.0,460.0,71.75,5' 11.75'',73.0,6' 1'',178.0,76.25,6' 4.25'',93.0,7' 9'',0.5698529411764706,0.6565425896323361,0.6838235294117647,0.3161764705882353,2.231707317073171,0.6544117647058824,12.0,0.2079207920792079,0.7920792079207921,0.07780979827089338,0.011527377521613832,0.08069164265129683
Kevin Durant,2007.0,1.0,2.0,SEA,18.276,University of Texas at Austin,2008.0,2018.0,771.0,37.1,27.1,7.1,3.9,1.2,1.1,0.49,0.527,0.384,0.882,130.2,0.21899999999999997,FR,2006-07,University of Texas at Austin,Big 12,35.0,1255.0,,,35.9,8.7,18.5,6.4,12.7,2.3,5.8,6.0,7.3,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,306.0,647.0,224.0,444.0,82.0,203.0,209.0,256.0,106.0,284.0,390.0,46.0,66.0,67.0,99.0,71.0,903.0,81.0,6' 9'',82.25,6' 10.25'',215.0,88.75,7' 4.75'',110.0,9' 2'',0.5363214837712519,0.5943604865462587,0.6862442040185471,0.31375579598145287,0.46464646464646464,0.3956723338485317,10.0,0.2717948717948718,0.7282051282051282,0.05657370517928287,0.05338645418326693,0.05258964143426295
Dwyane Wade,2003.0,1.0,5.0,MIA,21.165,Marquette University,2004.0,2018.0,982.0,34.5,22.5,4.7,5.5,1.6,0.9,0.483,0.504,0.287,0.767,118.3,0.168,JR,2002-03,Marquette University,CUSA,33.0,1058.0,,,32.1,7.6,15.2,7.2,13.8,0.4,1.3,5.9,7.5,1.8,4.5,6.3,4.4,2.2,1.3,3.2,2.3,21.5,251.0,501.0,237.0,457.0,14.0,44.0,194.0,249.0,60.0,149.0,209.0,145.0,71.0,43.0,107.0,76.0,710.0,75.75,6' 3.75'',,,212.0,82.75,6' 10.75'',102.0,8' 6'',0.5149700598802395,0.5814334381551364,0.9121756487025948,0.08782435129740519,1.355140186915888,0.49700598802395207,14.0,0.28708133971291866,0.7129186602870813,0.07183364839319471,0.04064272211720227,0.0671077504725898
Dwyane Wade,2003.0,1.0,5.0,MIA,21.165,Marquette University,2004.0,2018.0,982.0,34.5,22.5,4.7,5.5,1.6,0.9,0.483,0.504,0.287,0.767,118.3,0.168,FR,2001-02,Marquette University,CUSA,32.0,935.0,,,29.2,7.0,14.3,6.4,12.7,0.6,1.6,3.3,4.8,2.5,4.1,6.6,3.4,2.5,1.1,3.0,2.5,17.8,223.0,458.0,205.0,406.0,18.0,52.0,107.0,155.0,81.0,130.0,211.0,110.0,79.0,36.0,96.0,80.0,571.0,75.75,6' 3.75'',,,212.0,82.75,6' 10.75'',102.0,8' 6'',0.5065502183406113,0.5425693652603573,0.8864628820960698,0.11353711790393013,1.1458333333333333,0.3384279475982533,14.0,0.38388625592417064,0.6161137440758294,0.0855614973262032,0.038502673796791446,0.08449197860962566
James Harden,2009.0,1.0,3.0,OKC,19.308,Arizona State University,2010.0,2018.0,687.0,33.8,23.0,5.1,6.1,1.5,0.5,0.44299999999999995,0.503,0.364,0.8540000000000001,106.7,0.22,SO,2008-09,Arizona State University,Pac-10,35.0,1254.0,,,35.8,6.3,12.9,4.7,8.3,1.7,4.7,5.8,7.7,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8,20.1,221.0,452.0,163.0,289.0,58.0,163.0,204.0,270.0,48.0,147.0,195.0,148.0,59.0,11.0,118.0,99.0,704.0,76.0,6' 4'',77.25,6' 5.25'',222.0,82.75,6' 10.75'',103.5,8' 7.5'',0.5530973451327433,0.616678346180799,0.6393805309734514,0.3606194690265487,1.2542372881355932,0.5973451327433629,8.0,0.24615384615384617,0.7538461538461538,0.07894736842105263,0.008771929824561403,0.04704944178628389
James Harden,2009.0,1.0,3.0,OKC,19.308,Arizona State University,2010.0,2018.0,687.0,33.8,23.0,5.1,6.1,1.5,0.5,0.44299999999999995,0.503,0.364,0.8540000000000001,106.7,0.22,FR,2007-08,Arizona State University,Pac-10,34.0,1158.0,,,34.1,5.8,10.9,4.5,7.8,1.3,3.2,5.0,6.6,1.3,4.0,5.3,3.2,2.1,0.6,2.6,2.1,17.8,196.0,372.0,152.0,264.0,44.0,108.0,169.0,224.0,44.0,135.0,179.0,110.0,73.0,19.0,89.0,72.0,605.0,76.0,6' 4'',77.25,6' 5.25'',222.0,82.75,6' 10.75'',103.5,8' 7.5'',0.5860215053763441,0.6428510710642639,0.7096774193548387,0.2903225806451613,1.2359550561797752,0.6021505376344086,8.0,0.24581005586592178,0.7541899441340782,0.06217616580310881,0.016407599309153715,0.06303972366148532
Chris Bosh,2003.0,1.0,4.0,TOR,19.098,Georgia Institute of Technology,2004.0,2016.0,893.0,35.8,19.2,8.5,2.0,0.8,1.0,0.494,0.506,0.335,0.799,106.0,0.159,FR,2002-03,Georgia Institute of Technology,ACC,31.0,960.0,,,31.0,5.4,9.7,4.7,8.2,0.7,1.5,4.1,5.6,3.1,5.9,9.0,1.2,1.0,2.2,2.3,2.4,15.6,168.0,300.0,146.0,254.0,22.0,46.0,127.0,174.0,95.0,183.0,278.0,38.0,30.0,67.0,72.0,73.0,485.0,82.25,6' 10.25'',,,225.0,87.5,7' 3.5'',109.0,9' 1'',0.5966666666666667,0.6439876779264925,0.8466666666666667,0.15333333333333332,0.5277777777777778,0.58,12.0,0.34172661870503596,0.658273381294964,0.07604166666666666,0.06979166666666667,0.03125
Carmelo Anthony,2003.0,1.0,3.0,DEN,19.032,Syracuse University,2004.0,2018.0,1054.0,35.9,24.1,6.5,3.0,1.0,0.5,0.449,0.473,0.34700000000000003,0.812,100.7,0.128,FR,2002-03,Syracuse University,Big East,35.0,1274.0,,,36.4,7.9,17.5,6.3,12.7,1.6,4.7,4.8,6.8,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2,277.0,612.0,221.0,446.0,56.0,166.0,168.0,238.0,101.0,248.0,349.0,77.0,55.0,30.0,77.0,77.0,778.0,78.25,6' 6.25'',,,233.0,84.0,7' 0'',105.5,8' 9.5'',0.49836601307189543,0.542750306953901,0.7287581699346405,0.27124183006535946,1.0,0.3888888888888889,14.0,0.28939828080229224,0.7106017191977078,0.06043956043956044,0.023547880690737835,0.04317111459968603
LaMarcus Aldridge,2006.0,1.0,2.0,CHI,20.349,University of Texas at Austin,2007.0,2018.0,869.0,34.6,19.4,8.3,1.9,0.8,1.1,0.489,0.494,0.28800000000000003,0.8059999999999999,97.6,0.156,SO,2005-06,University of Texas at Austin,Big 12,37.0,1247.0,,,33.7,5.9,10.4,5.9,10.4,0.0,0.0,3.2,4.9,3.6,5.5,9.2,0.5,1.4,2.0,1.6,2.5,15.0,219.0,385.0,219.0,385.0,0.0,0.0,117.0,181.0,135.0,204.0,339.0,20.0,50.0,73.0,59.0,92.0,555.0,82.0,6' 10'',83.25,6' 11.25'',234.0,88.75,7' 4.75'',110.0,9' 2'',0.5688311688311688,0.5972365702479339,1.0,0.0,0.3389830508474576,0.4701298701298701,11.0,0.39823008849557523,0.6017699115044248,0.07377706495589414,0.05854049719326383,0.040096230954290296
